_id,Id_NIL,NIL,Titolo di studio,Valori
1,1,Duomo  ,Nessun titolo o licenza elementare,1845
2,2,Brera  ,Nessun titolo o licenza elementare,1841
3,3,Giardini Porta Venezia  ,Nessun titolo o licenza elementare,16
4,4,Guastalla  ,Nessun titolo o licenza elementare,1641
5,5,Vigentina  ,Nessun titolo o licenza elementare,1582
6,6,Ticinese  ,Nessun titolo o licenza elementare,2691
7,7,Magenta - S. Vittore  ,Nessun titolo o licenza elementare,1746
8,9,Garibaldi Repubblica  ,Nessun titolo o licenza elementare,724
9,10,Centrale  ,Nessun titolo o licenza elementare,2177
10,11,Isola  ,Nessun titolo o licenza elementare,3670
11,12,Maciachini - Maggiolina  ,Nessun titolo o licenza elementare,3717
12,13,Greco  ,Nessun titolo o licenza elementare,2387
13,14,Niguarda - Ca Granda ,Nessun titolo o licenza elementare,7828
14,15,Bicocca  ,Nessun titolo o licenza elementare,1156
15,16,Viale Monza  ,Nessun titolo o licenza elementare,4922
16,17,Adriano  ,Nessun titolo o licenza elementare,2631
17,18,Parco Lambro - Cimiano  ,Nessun titolo o licenza elementare,3704
18,19,Padova  ,Nessun titolo o licenza elementare,7069
19,20,Loreto  ,Nessun titolo o licenza elementare,6475
20,21,Buenos Aires - Venezia  ,Nessun titolo o licenza elementare,7718
21,22,Citt_tudi  ,Nessun titolo o licenza elementare,5066
22,23,Lambrate  ,Nessun titolo o licenza elementare,1763
23,24,Parco Forlanini - Ortica  ,Nessun titolo o licenza elementare,166
24,25,Corsica  ,Nessun titolo o licenza elementare,2476
25,26,XXII Marzo  ,Nessun titolo o licenza elementare,4529
26,27,Porta Romana  ,Nessun titolo o licenza elementare,2261
27,28,Umbria - Molise  ,Nessun titolo o licenza elementare,3803
28,29,Ortomercato  ,Nessun titolo o licenza elementare,766
29,30,Mecenate  ,Nessun titolo o licenza elementare,4324
30,31,Parco Monlu Ponte Lambro  ,Nessun titolo o licenza elementare,1137
31,32,Triulzo Superiore  ,Nessun titolo o licenza elementare,243
32,33,Rogoredo  ,Nessun titolo o licenza elementare,1438
33,34,Chiaravalle  ,Nessun titolo o licenza elementare,203
34,35,Lodi - Corvetto  ,Nessun titolo o licenza elementare,6901
35,36,Scalo Romana  ,Nessun titolo o licenza elementare,2125
36,37,Ex OM - Morivione  ,Nessun titolo o licenza elementare,1542
37,38,Ripamonti  ,Nessun titolo o licenza elementare,2103
38,39,Quintosole  ,Nessun titolo o licenza elementare,147
39,40,Ronchetto delle Rane  ,Nessun titolo o licenza elementare,180
40,41,Gratosoglio - Ticinello  ,Nessun titolo o licenza elementare,5017
41,42,Stadera  ,Nessun titolo o licenza elementare,5526
42,43,Tibaldi  ,Nessun titolo o licenza elementare,1868
43,44,Navigli  ,Nessun titolo o licenza elementare,2702
44,45,S. Cristoforo  ,Nessun titolo o licenza elementare,2562
45,46,Barona  ,Nessun titolo o licenza elementare,4478
46,47,Cantalupa  ,Nessun titolo o licenza elementare,46
47,48,Ronchetto sul Naviglio  ,Nessun titolo o licenza elementare,3436
48,49,Giambellino  ,Nessun titolo o licenza elementare,5737
49,50,Tortona  ,Nessun titolo o licenza elementare,2002
50,51,Washington  ,Nessun titolo o licenza elementare,3211
51,52,Bande Nere  ,Nessun titolo o licenza elementare,6575
52,53,Lorenteggio  ,Nessun titolo o licenza elementare,2629
53,54,Muggiano  ,Nessun titolo o licenza elementare,515
54,55,Baggio  ,Nessun titolo o licenza elementare,7479
55,56,Forze Armate  ,Nessun titolo o licenza elementare,5498
56,57,Selinunte  ,Nessun titolo o licenza elementare,5243
57,58,De Angeli - Monte Rosa  ,Nessun titolo o licenza elementare,2362
58,59,Tre Torri  ,Nessun titolo o licenza elementare,142
59,60,S. Siro  ,Nessun titolo o licenza elementare,1809
60,61,Quarto Cagnino  ,Nessun titolo o licenza elementare,1940
61,62,Quinto Romano  ,Nessun titolo o licenza elementare,1086
62,63,Figino  ,Nessun titolo o licenza elementare,381
63,64,Trenno  ,Nessun titolo o licenza elementare,907
64,65,Gallaratese  ,Nessun titolo o licenza elementare,7933
65,66,QT 8,Nessun titolo o licenza elementare,592
66,67,Portello  ,Nessun titolo o licenza elementare,873
67,68,Pagano  ,Nessun titolo o licenza elementare,1868
68,69,Sarpi  ,Nessun titolo o licenza elementare,4201
69,70,Ghisolfa  ,Nessun titolo o licenza elementare,2515
70,71,Villapizzone  ,Nessun titolo o licenza elementare,7632
71,72,Maggiore - Musocco  ,Nessun titolo o licenza elementare,843
