id_regione;regione;superficie;num_residenti;num_comuni;num_provincie;presidente;cod_istat;cod_fiscale;piva;pec;sito;sede
1;Abruzzo;10831.84;1326513;305;4;Luciano D'Alfonso;13;80003170661;;urp@pec.regione.abruzzo.it;www.regione.abruzzo.it;Regione Abruzzo / Palazzo Silone - Via Leonardo da Vinci 6, 67100 L'Aquila
2;Basilicata;10073.32;573694;131;2;Marcello Pittella;17;80002950766;;presidenza.giunta@cert.regione.basilicata.it;www.regione.basilicata.it;Regione Basilicata / Via Vincenzo Verrastro 4, 85100 Potenza
3;Calabria;15221.9;1970521;409;5;Gerardo Mario Oliverio;18;02205340793;;dipartimento.presidenza@pec.regione.calabria.it;www.regione.calabria.it;Regione Calabria / Via Massara 2, 88100 Catanzaro
4;Campania;13670.95;5850850;550;5;Vincenzo De Luca;15;80011990639;03516070632;agc02@pec.regione.campania.it;www.regione.campania.it;Regione Campania / Via Santa Lucia 81, 80132 Napoli
5;Emilia-Romagna;22452.78;4448146;333;9;Stefano Bonaccini;08;80062590379;;urp@postacert.regione.emilia-romagna.it;www.regione.emilia-romagna.it;Regione Emilia-Romagna / Viale Aldo Moro 52, 40127 Bologna
6;Friuli-Venezia Giulia;7862.3;1221218;216;4;Debora Serracchiani;06;80014930327;00526040324;regione.friuliveneziagiulia@certregione.fvg.it;www.regione.fvg.it;Regione autonoma Friuli Venezia Giulia / Piazza Unità d'Italia 1, 34121 Trieste
7;Lazio;17232.29;5888472;378;5;Nicola Zingaretti;12;80143490581;;protocollo-istituzionale@regione.lazio.legalmail.it;www.regione.lazio.it;Regione Lazio / Via Rosa Raimondi Garibaldi 7, 00145 Roma
8;Liguria;5416.21;1571053;235;4;Giovanni Toti;07;;00849050109;protocollo@pec.regione.liguria.it;www.regione.liguria.it;Regione Liguria / Piazza De Ferrari 1, 16121 Genova
9;Lombardia;23863.65;10008349;1524;12;Roberto Maroni;03;80050050154;12874720159;presidenza@pec.regione.lombardia.it;www.regione.lombardia.it;Regione Lombardia / Piazza Città di Lombardia 1, 20124 Milano
10;Marche;9401.38;1543752;229;5;Luca Ceriscioli;11;80008630420;00481070423;regione.marche.protocollogiunta@emarche.it;www.regione.marche.it;Regione Marche / Via Gentile da Fabriano 9, 60125 Ancona
11;Molise;4460.65;312027;136;2;Paolo Di Laura Frattura;14;00169440708;;regionemolise@pec.regione.molise.it;www.regione.molise.it;Regione Molise / Via Genova 11, 86100 Campobasso
12;Piemonte;25387.07;4404246;1201;8;Sergio Chiamparino;01;80087670016;02843860012;gabinettopresidenza-giunta@cert.regione.piemonte.it;www.regione.piemonte.it;Regione Piemonte / Piazza Castello 165, 10122 Torino
13;Puglia;19540.9;4077166;258;6;Michele Emiliano;16;80017210727;;comunicazione.istituzionale@pec.rupar.puglia.it;www.regione.puglia.it;Regione Puglia / Lungomare Nazario Sauro 33, 70121 Bari
14;Sardegna;24100.02;1658138;377;5;Francesco Pigliaru;20;80002870923;;affari.generali@pec.regione.sardegna.it;www.regione.sardegna.it;Regione autonoma della Sardegna / Viale Trento 69, 09123 Cagliari
15;Sicilia;25832.39;5074261;390;9;Rosario Crocetta;19;80012000826;02711070827;regione.sicilia@certmail.regione.sicilia.it;pti.regione.sicilia.it ;Regione Siciliana / Piazza Indipendenza 21, 90129 Palermo
16;Toscana;22987.04;3744398;276;10;Enrico Rossi;09;01386030488;;regionetoscana@postacert.toscana.it;www.regione.toscana.it ;Regione Toscana / Palazzo Strozzi Sacrati - Piazza del Duomo 10, 50122 Firenze
17;Trentino-Alto Adige;13605.5;1059114;293;2;Ugo Rossi;04;80003690221;;regione.taa@regione.taa.legalmail.it;www.regione.taa.it;Regione autonoma Trentino-Alto Adige / Via Gazzoletti 2, 38122 Trento
18;Umbria;8464.33;891181;92;2;Catiuscia Marini;10;;01212820540;regione.giunta@postacert.umbria.it;www.regione.umbria.it ;Regione Umbria / Palazzo Donini - Corso Vannucci 96, 06121 Perugia
19;Valle d'Aosta;3260.9;127329;74;1;Augusto Rollandin;02;80002270074;00368440079;segretario_generale@pec.regione.vda.it;www.regione.vda.it ;Regione autonoma Valle d'Aosta / Piazza Deffeyes 1, 11100 Aosta
20;Veneto;18407.42;4915123;576;7;Luca Zaia;05;80007580279;02392630279;protocollo.generale@pec.regione.veneto.it;www.regione.veneto.it ;Regione Veneto / Palazzo Balbi - Dorsoduro 3901, 30123 Venezia
;;;;;;;;;;;;
