Territorio;Maschi;Femmine;Totale
Abruzzo;637388;668382;1305770
Basilicata;273941;282993;556934
Calabria;942644;982057;1924701
Campania;2820555;2965306;5785861
Emilia-Romagna;2174599;2292519;4467118
Friuli-Venezia Giulia;589215;622142;1211357
Lazio;2832324;3033220;5865544
Liguria;739021;804106;1543127
Lombardia;4949770;5154199;10103969
Marche;738259;780141;1518400
Molise;148764;153501;302265
Piemonte;2109314;2232061;4341375
Puglia;1950256;2058040;4008296
Sardegna;800902;829572;1630474
Sicilia;2416233;2552177;4968410
Toscana;1798279;1924450;3722729
TrentinoAlto Adige;529824;544995;1074819
Umbria;424592;455693;880285
Valle d'Aosta;61325;64176;125501
Veneto;2403360;2504344;4907704
