Tipo-Zone;Id Sensore;Data-Ora;Valore Cumulato
Brera;19373;01/01/2018 00:00;0.2
Juvara;5908;01/01/2018 00:00;0.0
Lambrate;2006;01/01/2018 00:00;0.0
Zavattari;9341;01/01/2018 00:00;0.4
Rosellini;14121;01/01/2018 00:00;0.0
Brera;19373;01/01/2018 01:00;0.6
Juvara;5908;01/01/2018 01:00;0.2
Lambrate;2006;01/01/2018 01:00;0.6
Zavattari;9341;01/01/2018 01:00;0.8
Rosellini;14121;01/01/2018 01:00;0.8
Brera;19373;01/01/2018 02:00;1.0
Juvara;5908;01/01/2018 02:00;0.8
Lambrate;2006;01/01/2018 02:00;0.8
Zavattari;9341;01/01/2018 02:00;1.4
Rosellini;14121;01/01/2018 02:00;0.8
Brera;19373;01/01/2018 03:00;1.0
Juvara;5908;01/01/2018 03:00;1.2
Lambrate;2006;01/01/2018 03:00;1.2
Zavattari;9341;01/01/2018 03:00;2.0
Rosellini;14121;01/01/2018 03:00;1.4
Brera;19373;01/01/2018 04:00;2.0
Juvara;5908;01/01/2018 04:00;2.6
Lambrate;2006;01/01/2018 04:00;2.4
Zavattari;9341;01/01/2018 04:00;1.2
Rosellini;14121;01/01/2018 04:00;1.6
Brera;19373;01/01/2018 05:00;1.2
Juvara;5908;01/01/2018 05:00;1.4
Lambrate;2006;01/01/2018 05:00;0.4
Zavattari;9341;01/01/2018 05:00;0.2
Rosellini;14121;01/01/2018 05:00;0.8
Brera;19373;01/01/2018 06:00;0.2
Juvara;5908;01/01/2018 06:00;0.0
Lambrate;2006;01/01/2018 06:00;0.4
Zavattari;9341;01/01/2018 06:00;1.8
Rosellini;14121;01/01/2018 06:00;0.4
Brera;19373;01/01/2018 07:00;1.6
Juvara;5908;01/01/2018 07:00;2.0
Lambrate;2006;01/01/2018 07:00;2.2
Zavattari;9341;01/01/2018 07:00;0.8
Rosellini;14121;01/01/2018 07:00;2.2
Brera;19373;01/01/2018 08:00;1.4
Juvara;5908;01/01/2018 08:00;2.4
Lambrate;2006;01/01/2018 08:00;1.0
Zavattari;9341;01/01/2018 08:00;
