country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.993,0.999,0.989,0.977,0.953,0.963,0.968,0.987,1.01,1,1.01,1.01,1.02,,,,,,,,
Afghanistan,0.167,0.161,0.161,0.169,0.167,0.174,0.181,0.192,0.199,,,0.242,0.484,,0.47,0.476,0.531,,0.5,,,0.537,,0.362,0.432,0.474,,,,,,0,,0.544,0.406,0.548,0.573,0.567,0.586,0.61,0.626,0.663,0.669,0.655,0.654,0.642,0.646,0.642,0.636,,
Angola,,0.64,0.657,,,,,,,,,,0.826,0.788,,,,,,,,,,,,,,,0.819,,,,,,,,,,0.833,0.823,0.778,0.63,,,,,,,,,
Albania,,,,,,,0.923,,0.925,0.929,0.92,0.916,0.927,0.954,0.946,0.936,0.936,0.94,0.955,0.954,0.947,0.95,1.01,1.04,1.01,0.982,0.986,0.97,,0.968,0.976,0.987,,,0.98,0.978,0.985,0.997,1,1.02,1.01,1,0.99,0.982,0.977,0.982,0.994,1,1.02,1.02,
Andorra,,,,,,1.15,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,0.829,0.926,0.934,0.944,1.01,1.05,1.03,0.992,0.949,0.966,0.958,0.948,0.947,0.964,1,1.03,1.04,1.04,1.04,1.04,1.04,1.02,1.01,,1.03,1.05,,,,,,,,,,,,,,,,,,0.961,0.948,,,
Argentina,1.03,1.02,1.01,1.01,1.01,1.01,1.01,1.02,1.03,1.02,1.02,1.02,1.01,,1.01,1.02,1.01,1.01,1.05,,,,,,,,1.02,1.02,1.01,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.04,1.05,1.05,1.05,1.04,1.04,1.03,1.03,1.03,1.03,1.02,1.02,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,1.01,0.996,0.99,0.995,1.01,,1.03,1.04,1.04,,,1.02,1.03,
Antigua and Barbuda,,,,,1.17,1.04,,1.04,0.84,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,0.984,0.965,0.99,0.972,0.964,1.04,,0.974,0.99,,0.979,0.979,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,1,0.996,0.996,0.998,1.02,,,,,,,,,,,,,,,,,,0.925,0.925,0.938,0.969,,
