country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,27.3,27.3,27.7,27.7,27.3,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,,27.9,27
Angola,9.55,15.5,15.5,15.5,15.5,15.5,15.5,15,15,15,15,37.3,38.6,38.6,38.2,34.1,34.1,36.8,36.8,36.8,30.5,30.5,30,30
Albania,,,5.16,5.16,5.71,5.71,5.71,6.43,7.14,7.14,7.14,7.14,16.4,16.4,15.7,15.7,17.9,20,20.7,22.9,27.9,27.9,29.5,29.5
Andorra,7.14,7.14,7.14,7.14,14.3,14.3,14.3,14.3,28.6,28.6,28.6,25,35.7,35.7,50,50,50,50,39.3,32.1,32.1,32.1,46.4,46.4
United Arab Emirates,0,0,0,0,0,0,0,0,0,5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50,50
Argentina,27.6,27.6,,26.5,,30.7,30.7,33.7,36.2,35,40,40,38.5,38.5,37.4,37.4,36.6,36.6,,35.8,38.1,38.9,40.2,40.9
Armenia,6.32,6.32,3.05,3.05,3.05,3.05,4.58,5.34,5.34,5.34,9.16,8.4,9.16,9.16,8.4,10.7,10.7,10.7,10.7,10.7,18.1,18.1,23.5,23.5
Antigua and Barbuda,5.26,5.26,,5.26,5.26,5.26,5.26,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11.1,11.1,11.1,11.1,11.1,11.1,11.1
Australia,15.5,15.5,22.4,23,,25.3,25.3,24.7,24.7,24.7,26.7,26.7,27.3,24.7,24.7,24.7,26,26,26.7,28.7,28.7,28.7,30.5,30.5
Austria,26.2,26.2,,26.8,26.8,,33.9,33.9,33.9,32.2,32.8,27.3,27.9,27.9,27.9,27.9,33.3,32.2,30.6,30.6,34.4,34.4,39.3,39.3
Azerbaijan,12,12,12,,10.5,10.5,10.5,10.5,13,11.3,11.4,11.4,11.4,16,16,16,15.6,15.6,16.9,16.8,16.8,16.8,16.8,17.4
Burundi,,11.9,5.98,14.4,14.4,18.4,18.4,18.4,30.5,30.5,30.5,30.5,31.4,32.1,30.5,30.5,30.5,30.5,36.4,36.4,36.4,36.4,36.4,38.2
Belgium,12.7,12.7,23.3,23.3,23.3,23.3,35.3,34.7,34.7,34.7,35.3,35.3,38,39.3,38,38,38,39.3,39.3,39.3,38,38,42,41.3
Benin,7.23,7.23,6.02,6.02,6.02,6.02,6.02,7.23,7.23,7.23,10.8,10.8,10.8,10.8,8.43,8.43,8.43,8.43,7.23,7.23,7.23,7.23,7.23,7.23
Burkina Faso,9.01,8.11,8.11,8.11,8.11,11.7,11.7,11.7,11.7,11.7,15.3,15.3,15.3,15.3,15.3,15.7,15.7,,9.45,9.45,11,11,13.4,6.3
Bangladesh,9.09,9.09,9.09,9.09,,2,2,2,14.8,15.1,,6.33,18.6,18.6,19.7,19.7,19.7,19.8,20,20,20.3,20.3,20.6,20.9
Bulgaria,10.8,10.8,10.8,10.8,26.3,26.3,26.3,26.3,22.1,22.1,21.7,21.7,20.8,20.8,20.8,22.9,24.6,20,20.4,20.4,23.8,23.8,25.8,26.7
Bahrain,,,,,,,0,0,0,2.5,2.5,2.5,2.5,2.5,10,10,10,7.5,7.5,7.5,7.5,15,15,15
Bahamas,15,15,15,15,15,,20,20,20,20,12.2,12.2,12.2,12.2,12.2,13.2,13.2,13.2,13.2,13.2,12.8,12.8,12.8,12.8
Bosnia and Herzegovina,,,,,7.14,,16.7,16.7,16.7,14.3,11.9,11.9,19,16.7,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,26.2
Belarus,,,,,10.3,10.3,10.3,29.4,29.1,29.1,29.1,31.8,31.8,31.8,31.8,26.6,26.6,26.6,27.3,34.5,34.5,34.5,40,40
Belize,3.45,3.45,6.9,6.9,6.9,6.9,3.33,6.67,6.67,6.67,3.33,0,0,0,0,3.13,3.13,3.13,3.13,3.13,9.38,9.38,9.38,9.68
Bolivia,,,11.5,11.5,11.5,18.5,18.5,19.2,16.9,16.9,16.9,16.9,22.3,25.4,25.4,25.4,25.4,53.1,53.1,53.1,53.1,53.1,53.1,46.2
